Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Critical
USA,792759,28123,42514,1939,72389,677856,13951
Spain,200210,1536,20852,399,80587,98771,7371
Italy,181228,2256,24114,454,48877,108237,2573
France,155383,2489,20265,547,37409,97709,5683
Germany,147065,1323,4862,220,91500,50703,2889
UK,124743,4676,16509,449,0,107890,1559
Turkey,90980,4674,2140,123,13430,75410,1909
Iran,83505,1294,5209,91,59273,19023,3389
China,82747,12,4632,0,77084,1031,81
Russia,47121,4268,405,44,3446,43270,700
Brazil,40743,2089,2587,125,22130,16026,7919
Belgium,39983,1487,5828,145,8895,25260,1071
Canada,36829,1773,1690,103,12586,22553,557
Netherlands,33405,750,3751,67,0,29404,1158
Switzerland,27944,204,1429,36,18600,7915,386
Portugal,20863,657,735,21,610,19518,215
India,18539,924,592,33,3273,14674,0
Peru,16325,697,445,45,6968,8912,385
Ireland,15652,401,687,77,77,14888,294
Austria,14795,46,470,18,10631,3694,194
Sweden,14777,392,1580,40,550,12647,521
Israel,13713,222,177,5,4049,9487,149
Japan,11135,338,263,27,1239,9633,217
S. Korea,10674,13,236,2,8114,2324,55
Chile,10507,419,139,6,4676,5692,377
Saudi Arabia,10484,1122,103,6,1490,8891,88
Ecuador,10128,660,507,33,1150,8471,124
Poland,9593,306,380,20,1133,8080,160
Romania,8936,190,478,27,2017,6441,261
Pakistan,8892,544,176,8,1970,6746,46
Mexico,8261,764,686,36,2627,4948,207
Singapore,8014,1426,11,0,801,7202,23
Denmark,7515,131,364,9,4312,2839,84
UAE,7265,484,43,2,1360,5862,1
Norway,7156,78,181,16,32,6943,58
Czechia,6900,154,194,8,1559,5147,84
Indonesia,6760,185,590,8,747,5423,0
Serbia,6630,312,125,3,870,5635,108
Australia,6625,13,71,0,4258,2296,49
Philippines,6459,200,428,19,613,5418,1
Belarus,6264,1485,51,4,514,5699,92
Qatar,6015,567,9,1,555,5451,37
Ukraine,5710,261,151,10,359,5200,45
Malaysia,5425,36,89,0,3295,2041,45
Dominican Republic,4964,284,235,9,416,4313,128
Panama,4467,194,126,6,165,4176,98
Colombia,3977,185,189,10,804,2984,98
Finland,3868,85,98,4,2000,1770,67
Luxembourg,3558,8,75,2,637,2846,32
Egypt,3333,189,250,11,821,2262,0
South Africa,3300,142,58,4,1055,2187,36
